1;CRISTO REY;PROSPERIDAD
2;MANUEL BECERRA;REINA VICTORIA
3;PUERTA TOLEDO;SAN AMARO
4;CIUDAD LINEAL;PUERTA ARGANDA
5;SOL/SEVILLA;CHAMARTIN
6;BENAVENTE;ORCASITAS
7;ALONSO MARTINEZ;MANOTERAS
8;LEGAZPI;VALDEBERNARDO
9;SEVILLA;HORTALEZA
10;CIBELES;PALOMERAS
11;MARQUES DE VIANA;BARRIO BLANCO
12;CRISTO REY;MARQUES DE ZAFRA
14;CONDE DE CASAL;PIO XII
15;SOL/SEVILLA;LA ELIPA
16;MONCLOA;PIO XII
17;PLAZA MAYOR;PARQUE EUROPA
18;PLAZA MAYOR;VILLAVERDE CRUCE
19;PLAZA CATALUÑA;LEGAZPI
20;SOL/SEVILLA;PAVONES
21;PINTOR ROSALES;EL SALVADOR
22;LEGAZPI;VILLAVERDE ALTO
23;PLAZA MAYOR;VILLAVERDE CRUCE
24;ATOCHA RENFE;EL POZO
25;OPERA;CASA DE CAMPO
26;TIRSO DE MOLINA;DIEGO DE LEON
27;EMBAJADORES;PLAZA CASTILLA
28;PUERTA ALCALA;Bº CANILLEJAS
29;FELIPE II;MANOTERAS
30;FELIPE II;PAVONES
31;PLAZA MAYOR;ALUCHE
32;BENAVENTE;PAVONES
33;PRINCIPE PIO;CASA DE CAMPO
34;CIBELES;LAS AGUILAS
35;PLAZA MAYOR;CARABANCHEL ALTO
36;ATOCHA;CAMPAMENTO
37;CUATRO CAMINOS;PUENTE VALLECAS
38;MANUEL BECERRA;LAS ROSAS
39;OPERA;SAN IGNACIO
40;TRIBUNAL;ALFONSO XIII
41;ATOCHA;COLONIA MANZANARES
42;PLAZA CASTILLA;Bº PEÑAGRANDE
43;FELIPE II;ESTRECHO
44;CALLAO;MARQUES DE VIANA
45;LEGAZPI;REINA VICTORIA
46;SEVILLA;MONCLOA
47;ATOCHA;CARABANCHEL ALTO
48;MANUEL BECERRA;Bº CANILLEJAS
49;PLAZA CASTILLA;PITIS
50;PLAZA MAYOR;AVENIDA MANZANARES
51;SOL;PLAZA PERU
52;SOL/SEVILLA;SANTAMARCA
53;SOL/SEVILLA;ARTURO SORIA
54;ATOCHA RENFE;CONGOSTO
55;ATOCHA;BATAN
56;DIEGO DE LEON;PUENTE VALLECAS
57;ATOCHA RENFE;ALTO DEL ARENAL
58;PUENTE VALLECAS;SANTA EUGENIA
59;ATOCHA RENFE;SAN CRISTOBAL
60;PLAZA CEBADA;ORCASITAS
61;MONCLOA;NARVAEZ
62;CRISTO REY;LOS PUERTOS
63;FELIPE II;SANTA EUGENIA
64;CUATRO CAMINOS;PITIS
65;BENAVENTE;GRAN CAPITAN
66;CUATRO CAMINOS;FUENCARRAL
67;PLAZA CASTILLA;Bº PEÑAGRANDE
70;PLAZA CASTILLA;ALSACIA
71;MANUEL BECERRA;PUERTA ARGANDA
72;DIEGO DE LEON;HORTALEZA
73;DIEGO DE LEON;FERIA DE MADRID
74;PINTOR ROSALES;PARQUE AVENIDAS
75;CALLAO;COLONIA MANZANARES
76;PLAZA BEATA;VILLAVERDE ALTO
77;CIUDAD LINEAL;FIN DE SEMANA
78;EMBAJADORES;SAN FERMIN
79;LEGAZPI;VILLAVERDE ALTO
81;OPORTO;HOSPITAL 12 OCTUBRE
82;MONCLOA;PITIS
83;MONCLOA;BARRIO DEL PILAR
85;ATOCHA RENFE;BUTARQUE
86;ATOCHA RENFE;VILLAVERDE ALTO
87;REP.DOMINICANA;LAS CARCAVAS
100;MORATALAZ;VALDERRIVAS
101;CANILLEJAS;BARAJAS
102;ATOCHA RENFE;ESTACION EL POZO
103;ESTACION EL POZO;ECOBULEVAR
104;CIUDAD LINEAL;MAR DE CRISTAL
105;CIUDAD LINEAL;BARAJAS
106;MANUEL BECERRA;VICALVARO
107;PLAZA CASTILLA;HORTALEZA
108;OPORTO;CEMENTERIO CARABANCHEL
109;CIUDAD LINEAL;CASTILLO UCLES
110;MANUEL BECERRA;CMTº ALMUDENA
111;PUENTE VALLECAS;ENTREVIAS
112;MAR CRISTAL;BARRIO AEROPUERTO
113;MENDEZ ALVARO;CIUDAD LINEAL
114;AVENIDA AMERICA;Bº AEROPUERTO
115;AVENIDA AMERICA;BARAJAS
116;EMBAJADORES;VILLAVERDE CRUCE
117;ALUCHE;SAN IGNACIO
118;EMBAJADORES;LA PESETA
119;ATOCHA;BARRIO GOYA
120;PLAZA LIMA;HORTALEZA
121;CAMPAMENTO;HOSPITAL 12 OCTUBRE
122;AVENIDA AMERICA;FERIA MADRID
123;LEGAZPI;BUTARQUE
124;CUATRO CAMINOS;LACOMA
125;MAR CRISTAL;H.RAMON Y CAJAL
126;N.MINISTERIOS;BARRIO DEL PILAR
127;CUATRO CAMINOS;C. PERIODISTAS
128;C. CAMINOS;BARRIO DEL PILAR
129;PLAZA CASTILLA;MANOTERAS
130;VILLAVERDE ALTO;VICALVARO
131;CAMPAMENTO;VILLAVERDE ALTO
132;MONCLOA;HOSPITAL LA PAZ
133;CALLAO;MIRASIERRA
134;PLAZA CASTILLA;MONTECARMELO
135;PLAZA CASTILLA;H.RAMON Y CAJAL
136;PACIFICO;MADRID SUR
137;PUERTA HIERRO;FUENCARRAL
138;CRISTO REY;ALUCHE
139;D.PRINCIPE;CARABANCHEL ALTO
140;PAVONES;CANILLEJAS
141;ATOCHA RENFE;BUENOS AIRES
142;PAVONES;ENSANCHE VALLECAS
143;MANUEL BECERRA;VILLA VALLECAS
144;PAVONES;ENTREVIAS
145;CONDE CASAL;ENSANCHE VALLECAS
146;CALLAO;LOS MOLINOS
147;CALLAO;BARRIO DEL PILAR
148;CALLAO;PUENTE VALLECAS
149;TRIBUNAL;PLAZA CASTILLA
150;SOL/SEVILLA;VIRGEN CORTIJO
151;CANILLEJAS;BARAJAS
152;FELIPE II;MENDEZ ALVARO
153;LAS ROSAS;MAR DE CRISTAL
155;PLAZA ELIPTICA;ALUCHE
156;MANUEL BECERRA;LEGAZPI
160;MONCLOA;ARAVACA
161;MONCLOA;ARAVACA SUR
162;MONCLOA;EL BARRIAL
165;ALSACIA;HOSPITAL RAMON Y CAJAL
171;MAR DE CRISTAL;VALDEBEBAS
172;MAR DE CRISTAL;TELEFONICA
173;PLAZA CASTILLA;SANCHINARRO
174;PLAZA CASTILLA;VALDEBEBAS
175;PZA.CASTILLA;LAS TABLAS NORTE
176;PLAZA CASTILLA;LAS TABLAS SUR
177;PLAZA CASTILLA;MQUES.DE VIANA
178;PLAZA CASTILLA;MONTECARMELO
180;LEGAZPI;CAJA MAGICA
200;AVENIDA AMERICA;AEROPUERTO
203;ATOCHA RENFE;AEROPUERTO
210;DIEGO DE LEON;LA ELIPA
215;FELIPE II;PARQUE ROMA
247;ATOCHA;SAN JOSE OBRERO
310;PACIFICO;ESTACION EL POZO
A;MONCLOA;SOMOSAGUAS
C1;GOYA;GOYA
C2;GOYA;GOYA
E;CONDE CASAL;SIERRA GUADALUPE
E1;ATOCHA;PLAZA ELIPTICA
E2;FELIPE II;LAS ROSAS
E3;FELIPE II;VALDERRIVAS
E4;FELIPE II;VALDEBERNARDO
F;CUATRO CAMINOS;C.UNIVERSITARIA
G;MONCLOA;CIUDAD UNIVERSITARIA
H;ALUCHE;SOMOSAGUAS
H1;SIERRA GUADALUPE;H.I.LEONOR
M1;SOL/SEVILLA;EMBAJADORES
M2;SEVILLA;ARGÜELLES
N1;CIBELES;SANCHINARRO
N2;CIBELES;VALDEBEBAS
N3;CIBELES;CANILLAS
N4;CIBELES;BARAJAS
N5;CIBELES;FIN DE SEMANA
N6;CIBELES;LAS ROSAS
N7;CIBELES;VALDERRIVAS
N8;CIBELES;VALDEBERNARDO
N9;CIBELES;ENSANCHE VALLECAS
N10;CIBELES;PALOMERAS
N11;CIBELES;MADRID SUR
N12;CIBELES;BUTARQUE
N13;CIBELES;SAN CRISTOBAL
N14;CIBELES;VILLAVERDE ALTO
N15;CIBELES;ORCASUR
N16;CIBELES;LA PESETA
N17;CIBELES;CARABANCHEL ALTO
N18;CIBELES;ALUCHE
N19;CIBELES;SAN IGNACIO
N20;CIBELES;PITIS
N21;CIBELES;ARROYO FRESNO
N22;CIBELES;BARRIO DEL PILAR
N23;CIBELES;MONTECARMELO
N24;CIBELES;LAS TABLAS
N25;ALONSO MARTINEZ;VILLA VALLECAS
N26;ALONSO MARTINEZ;ALUCHE
N27;CIBELES;AEROPUERTO
N28;MONCLOA;ARAVACA
SE702;PLAZA ELIPTICA;CEMENTERIO SUR
SE704;PLAZA CASTILLA;CMTº FUENCARRAL
SE718;PUERTA ARGANDA;CAÑADA REAL
SE721;CANILLEJAS;METROPOLITANO
SE722;BARAJAS;HOSPITAL RAMON Y CAJAL
SE723;ALSACIA;CAÑAVERAL
SE730;PRINCIPE PIO;PINAR DE SAN JOSE
SE766;ATOCHA;POL.INDUSTRIAL VALLECAS
SE786;PRINCIPE DE VERGARA;CALLAO
T11;MAR DE CRISTAL;CRISTALIA
T23;PUERTA ARGANDA;P.IND.VICALVARO
T31;EST.EL POZO;SIERRA GUADALUPE
T32;LEGAZPI;MERCAMADRID
T41;VILLAVERDE ALTO;P.I.LA RESINA
T61;ESTACION FUENCARRAL;LAS TABLAS
T62;PLAZA CASTILLA;CHAMARTIN
U;AVENIDA SENECA;PARANINFO
